date,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,UC,season,weekday,year,patio_open,apparent_temp_7pm,apparent_temp_12pm,dewpoint_7pm,temp_max,temp_min,temp_range,snow_depth_morning,precip_dinner,precip_dinner_max,snowfall_dinner,precip_type_dinner,windgusts_dinner_max,cloudcover_dinner_mean,precip_lunch,precip_lunch_max,precip_type_lunch,precip_lag0,precip_type_code,precip_lag1,precip_lag2,precip_lag5d,year_code,any_rain_lag1,OC_predicted,cloudcover_bin,UC_predicted,UC_resid
2017-03-28,188,0,132,24,32,10,5,56,Spring,2,2017,0,35.0,42.5,41.5,47.0,32.9,14.100000000000001,0.0,0.032,0.012,0.0,rain,19.2,100.0,0.07100000000000001,0.031,rain,0.273,1,0.205,0.012,0.356,0,1,0.0,3,54.32158797411572,1.6784120258842776
2017-03-29,193,0,119,19,55,21,9,74,Spring,3,2017,0,41.9,43.3,28.8,51.9,32.4,19.5,0.0,0.0,0.0,0.0,none,26.8,0.0,0.0,0.0,none,0.008,0,0.273,0.205,0.629,0,1,0.0,0,58.08440370118848,15.915596298811522
2017-03-30,178,0,129,8,41,14,7,49,Spring,4,2017,0,33.3,41.2,30.1,46.7,24.1,22.6,0.0,0.0,0.0,0.0,none,22.4,95.2,0.0,0.0,none,0.0,0,0.008,0.273,0.637,0,1,0.0,3,60.28998529837128,-11.289985298371278
2017-03-31,196,0,134,14,48,10,4,62,Spring,5,2017,0,31.6,31.7,41.5,35.1,28.3,6.800000000000001,0.0,0.355,0.126,0.0,rain,43.0,100.0,0.11499999999999999,0.051,rain,0.9239999999999999,1,0.0,0.008,0.498,0,0,0.0,3,72.80937261764875,-10.809372617648748
2017-04-01,229,0,154,14,61,10,4,75,Spring,6,2017,0,34.2,32.1,32.2,37.3,26.0,11.299999999999997,0.0,0.0,0.0,0.0,none,27.1,92.8,0.0,0.0,none,0.063,0,0.9239999999999999,0.0,1.41,0,1,0.0,3,80.8961403083797,-5.8961403083796995
2017-04-02,206,0,137,29,40,8,2,69,Spring,7,2017,0,46.4,50.1,37.4,52.6,28.2,24.400000000000002,0.0,0.0,0.0,0.0,none,27.3,78.2,0.0,0.0,none,0.0,0,0.063,0.9239999999999999,1.2679999999999998,0,1,0.0,3,84.01916612698693,-15.019166126986931
2017-04-03,184,0,129,16,39,12,3,55,Spring,1,2017,0,39.2,53.0,37.1,53.0,31.3,21.7,0.0,0.0,0.0,0.0,none,24.8,100.0,0.0,0.0,none,0.0,0,0.0,0.063,0.9949999999999999,0,0,0.0,3,61.96509625003067,-6.965096250030669
2017-04-04,175,0,126,17,32,6,3,49,Spring,2,2017,0,52.3,51.6,51.4,55.4,38.2,17.199999999999996,0.0,0.0,0.0,0.0,none,15.9,82.0,0.008,0.004,rain,0.649,0,0.0,0.0,0.9869999999999999,0,0,0.0,3,61.777954466289245,-12.777954466289245
2017-04-05,167,2,119,10,40,10,3,50,Spring,3,2017,1,41.0,53.1,43.6,59.0,36.4,22.6,0.0,0.0,0.0,0.0,none,22.1,94.2,0.0,0.0,none,0.0,0,0.649,0.0,1.636,0,1,0.0,3,90.3687686787445,-40.3687686787445
2017-04-06,179,0,117,27,35,12,4,62,Spring,4,2017,0,47.4,35.0,53.3,47.4,31.5,15.899999999999999,0.0,0.173,0.173,0.0,rain,48.5,41.2,0.079,0.067,rain,0.973,1,0.0,0.649,0.712,0,0,0.0,1,60.438604537963286,1.5613954620367139
2017-04-07,202,0,147,13,42,6,3,55,Spring,5,2017,0,33.7,35.4,28.0,40.4,27.5,12.899999999999999,0.0,0.0,0.0,0.0,none,34.2,91.2,0.012,0.004,rain,0.064,0,0.973,0.0,1.6219999999999999,0,1,0.0,3,66.57873775169907,-11.578737751699066
2017-04-08,233,0,152,20,61,9,4,81,Spring,6,2017,0,41.7,39.3,24.9,44.8,26.4,18.4,0.0,0.0,0.0,0.0,none,31.8,1.5,0.0,0.0,none,0.0,0,0.064,0.973,1.686,0,1,0.0,0,83.13743890421674,-2.1374389042167365
2017-04-09,209,0,136,24,49,14,5,73,Spring,7,2017,0,43.5,52.4,41.8,55.1,29.3,25.8,0.0,0.0,0.0,0.0,none,26.8,93.8,0.0,0.0,none,0.0,0,0.0,0.064,1.686,0,0,0.0,3,83.12043706724054,-10.120437067240545
2017-04-10,185,71,130,80,46,22,8,126,Spring,1,2017,1,54.8,59.9,52.2,61.3,38.0,23.299999999999997,0.0,0.0,0.0,0.0,none,24.6,86.8,0.0,0.0,none,0.0,0,0.0,0.0,1.037,0,0,0.0,3,99.36328903376963,26.636710966230368
2017-04-11,164,89,121,60,72,10,5,132,Spring,2,2017,1,55.8,69.8,55.4,69.8,49.7,20.099999999999994,0.0,0.0,0.0,0.0,none,20.8,95.2,0.0,0.0,none,0.0,0,0.0,0.0,1.037,0,0,75.49502691439272,3,123.40210851611229,8.597891483887707
2017-04-12,191,84,150,56,69,8,4,125,Spring,3,2017,1,60.7,68.5,46.0,70.8,48.0,22.799999999999997,0.0,0.0,0.0,0.0,none,18.6,13.8,0.028,0.016,rain,0.032,0,0.0,0.0,0.064,0,0,90.93767162205555,0,131.35665330777005,-6.356653307770046
2017-04-13,193,67,157,53,50,2,1,103,Spring,4,2017,1,52.3,48.2,36.9,56.7,36.4,20.300000000000004,0.0,0.0,0.0,0.0,none,20.4,94.8,0.0,0.0,none,0.0,0,0.032,0.0,0.032,0,1,0.0,3,98.6487361750167,4.351263824983306
2017-04-14,207,76,135,67,81,28,10,148,Spring,5,2017,1,42.7,55.2,38.6,58.4,35.3,23.1,0.0,0.0,0.0,0.0,none,19.7,0.0,0.0,0.0,none,0.0,0,0.0,0.032,0.032,0,0,0.0,0,101.83122971419742,46.16877028580258
2017-04-15,210,81,131,91,69,14,5,160,Spring,6,2017,1,48.3,49.3,48.8,52.5,35.4,17.1,0.0,0.0,0.0,0.0,none,28.9,82.2,0.0,0.0,none,0.0,0,0.0,0.0,0.032,0,0,0.0,3,117.74093249514858,42.259067504851416
2017-04-16,199,106,128,76,101,21,8,177,Spring,7,2017,1,69.5,76.4,54.9,79.9,53.1,26.800000000000004,0.0,0.0,0.0,0.0,none,32.7,60.5,0.0,0.0,none,0.012,0,0.0,0.0,0.032,0,0,98.10280818910528,2,161.8463154245468,15.153684575453212
2017-04-17,165,61,123,88,15,17,8,103,Spring,1,2017,1,60.4,63.5,44.4,66.9,48.3,18.60000000000001,0.0,0.0,0.0,0.0,none,26.4,26.0,0.0,0.0,none,0.004,0,0.012,0.0,0.044,0,1,69.93708220451617,1,126.68077801675804,-23.68077801675804
2017-04-18,173,8,134,17,30,10,4,47,Spring,2,2017,1,43.5,57.2,41.3,60.3,39.9,20.4,0.0,0.0,0.0,0.0,none,27.7,0.0,0.0,0.0,none,0.0,0,0.004,0.012,0.016,0,1,0.0,0,91.59315071203284,-44.59315071203284
2017-04-19,176,0,113,30,33,8,4,63,Spring,3,2017,0,41.6,38.9,41.4,43.4,37.9,5.5,0.0,0.047,0.035,0.0,rain,29.3,100.0,0.0,0.0,none,0.05500000000000001,1,0.0,0.004,0.016,0,0,0.0,3,55.966271768804255,7.033728231195745
2017-04-20,184,30,127,49,38,14,6,87,Spring,4,2017,1,50.9,60.4,49.3,64.1,44.7,19.39999999999999,0.0,0.0,0.0,0.0,none,18.3,98.2,0.0,0.0,none,0.348,0,0.05500000000000001,0.0,0.07100000000000001,0,1,0.0,3,98.21000285259198,-11.210002852591984
